О всё видавшем;Неизвестный автор;XVIII—XVII вв. до н. э.;Шумер / Аккад;Аккадский
Братья Карамазовы;Фёдор Достоевский;1880;Россия;Русский
Медея;Еврипид;431 до н. э.;Афины;Древнегреческий
Самопознание Дзено;Итало Звево;1923;Австрия / Италия;Итальянский
Кукольный дом;Генрик Ибсен;1879;Норвегия;Норвежский
Стон горы;Ясунари Кавабата;1954;Япония;Японский
Невероятные похождения Алексиса Зорбаса;Никос Казандзакис;1946;Греция;Греческий
Шакунтала;Калидаса;I в. до н. э. — IV в. н. э.;Индия;Санскрит
Посторонний;Альбер Камю;1942;Франция;Французский
Рассказы;Франц Кафка;1924;Австрия / Чехословакия;Немецкий
Процесс ;Франц Кафка;1925;Австрия / Чехословакия;Немецкий
За?мок ;Франц Кафка;1926;Австрия / Чехословакия;Немецкий
Ностромо;Джозеф Конрад;1904;Великобритания;Английский
Самостоятельные люди;Халлдор Кильян Лакснесс;1934—1935;Дания / Исландия;Исландский
Стихи;Джакомо Леопарди;1818;Италия;Итальянский
Золотая тетрадь;Дорис Лессинг;1962;Великобритания;Английский
Пеппи Длинныйчулок;Астрид Линдгрен;1945;Швеция;Шведский
Сыновья и любовники;Дэвид Герберт Лоуренс;1913;Великобритания;Английский
Записки сумасшедшего;Лу Синь;1918;Китай;Китайский
Будденброки;Томас Манн;1901;Германия;Немецкий
Волшебная гора;Томас Манн;1924;Германия;Немецкий
Предания нашей улицы;Нагиб Махфуз;1959;Египет;Арабский
Моби Дик;Герман Мелвилл;1851;США;Английский
Опыты;Мишель де Монтень;1595;Франция;Французский
История;Эльза Моранте;1974;Италия;Итальянский
Возлюбленная;Тони Моррисон;1987;США;Английский
Человек без свойств;Роберт Музиль;1930—1932;Австрия;Немецкий
Лолита;Владимир Набоков;1955;США / Россия;"Английский, русский"
Метаморфозы;Публий Овидий Назон;I в. н. э.;Римская империя;Классическая латынь
Книга непокоя;Фернандо Пессоа;1928;Португалия;Португальский
Рассказы;Эдгар Аллан По;XIX век;США;Английский
В поисках утраченного времени;Марсель Пруст;1913—1927;Франция;Французский
Гаргантюа и Пантагрюэль;Франсуа Рабле;1532—1534;Франция;Французский
Педро Парамо;Хуан Рульфо;1955;Мексика;Испанский
Маснави;Джалаладдин Руми;1258—1273;Государство Хулагуидов;Персидский
Дети полуночи;Салман Рушди;1981;Индия / Великобритания;Английский
Гордость и предубеждение;Джейн Остин;1813;Великобритания;Английский
Бустан;Саади;1257;Государство Хулагуидов;Персидский
Сезон паломничества на Север;Тайиб Салих;1966;Судан;Арабский
Слепота;Жозе Сарамаго;1995;Португалия;Португальский
Путешествия Гулливера;Джонатан Свифт;1726;Ирландия;Английский
Путешествие на край ночи;Луи-Фердинанд Селин;1932;Франция;Французский
Хитроумный идальго Дон Кихот Ламанчский;Мигель де Сервантес;"1605 (часть 1), 1615 (часть 2)";Испания;Испанский
Повесть о блистательном принце Гэндзи;Мурасаки Сикибу;XI век;Япония;Японский
Эдип-царь;Софокл;430 г. до н. э.;Афины;Древнегреческий
Красное и чёрное;Стендаль;1830;Франция;Французский
Жизнь и мнения Тристрама Шенди, джентльмена;Лоренс Стерн;1760;Англия;Английский
Приключения Гекльберри Финна;Марк Твен;1884;США;Английский
Война и мир;Лев Толстой;1865—1869;Россия;Русский
Анна Каренина;Лев Толстой;1877;Россия;Русский
Смерть Ивана Ильича;Лев Толстой;1886;Россия;Русский
Листья травы;Уолт Уитмен;1855;США;Английский
Госпожа Бовари ;Гюстав Флобер;1857;Франция;Французский
Воспитание чувств;Гюстав Флобер;1869;Франция;Французский
Авессалом, Авессалом!;Уильям Фолкнер;1936;США;Английский
Шум и ярость;Уильям Фолкнер;1929;США;Английский
Старик и море;Эрнест Хемингуэй;1952;США;Английский
Стихотворения;Пауль Целан;1952;Румыния / СССР / Франция;Немецкий
Рассказы;Антон Чехов;1886;Россия;Русский
Кентерберийские рассказы;Джеффри Чосер;XIV век;Англия;Английский
Гамлет;Уильям Шекспир;1603;Англия;Английский
Король Лир;Уильям Шекспир;1608;Англия;Английский
Отелло;Уильям Шекспир;1609;Англия;Английский
Мидлмарч;Джордж Элиот;1871;Великобритания;Английский
Человек-невидимка;Ральф Эллисон;1952;США;Английский
Воспоминания Адриана;Маргерит Юрсенар;1951;Франция;Французский
